"mat_code";"gcn_no";"gcn_date";"grn_no";"grn_date";"po_no";"po_date";"receiver_id";"consignee_id";"po_sl_no";"part_id";"part_name";"qty_delivered";"uom";"unit_price";"taxable_amt";"cgst_price";"sgst_price";"igst_price";"rejected_item"
"MEE";"065/2023-24";"13-09-2023";"SC232400292";"01-09-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";48;"Nos";697.0;33456.0;3011.04;3011.04;0.0;0
"MEE";"065/2023-24";"13-09-2023";"SC232400292";"01-09-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";96;"Nos";671.0;64416.0;5797.44;5797.44;0.0;0
"MEE";"066/2023-24";"15-09-2023";"SC232400324";"11-09-2023 ";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";150;"Nos";250.0;37500.0;3375.0;3375.0;0.0;0
"MEE";"067/2023-24";"22-09-2023";"2023-24/09561";"05-09-2023";"2023-24 /00017";"03-04-2023";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER-NH00001762423";103;"Nos";3880.0;399640.0;0.0;0.0;71935.2;0
"MEE";"067/2023-24";"22-09-2023";"2023-24/09560";"05-09-2023";"2023-24/00017";"03-04-2023";"hite";"alst";1;"4344";"SUPPORT CASTING BRACKET AGTU";20;"Nos";1240.0;24800.0;0.0;0.0;4464.0;0
"MEE";"067/2023-24";"22-09-2023";"2023-24/09559";"05-09-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";80;"Nos";1420.0;113600.0;0.0;0.0;20448.0;0
"MEE";"068/2023-24";"23-09-2023";"794/23-24";"15-09-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";44;"Nos";18000.0;792000.0;0.0;0.0;142560.0;0
"MEE";"069/2023-24";"30-09-2023";"837/23-24 ";"22-09-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";42;"Nos";18000.0;756000.0;0.0;0.0;136080.0;0
"MEE";"070/2023-24";"04-10-2023";"SC232400353";"25-09-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";146;"Nos";250.0;36500.0;3285.0;3285.0;0.0;0
"MEE";"071/2023-24";"06-10-2023";"2023-24/10325";"20-09-2023";"2023-24/01296";"25-09-2023";"hite";"alst";1;"4650";"BRACKET-NH00002647283";186;"Nos";1306.4;242990.0;0.0;0.0;43738.0;0
"MEE";"072/2023-24";"07-10-2023";"SC232400360";"28-09-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";95;"Nos";697.0;66215.0;5959.35;5959.35;0.0;0
"MEE";"073/2023-24";"10-10-2023";"21/23-24 ";"07-10-2023 ";"MPC/WO/22/23-24";"22-09-2023";"macr";"macr";1;"OSAMC JD3MC";"CHASSIS ASSY";50;"Nos";2250.0;112500.0;10125.0;10125.0;0.0;0
"MEE";"074/2023-24";"12-10-2023";"10616";"22-09-2023";"041/2023-2024";"03-05-2023";"samu";"samu";1;"SI-7355";"RELEASE LEVER";50;"Nos";1224.0;61200.0;0.0;0.0;11016.0;0
"MEE";"075/2023-24";"13-10-2023";"2023-24/10654";"";"2023-24/00073";"06-04-2022";"hite";"alst";1;"4316";"AIR ADAPTOR";7;"Nos";1415.0;9905.0;0.0;0.0;1782.9;0
"MEE";"075/2023-24";"13-10-2023";"2023-24/10653";"";"2023-24/01295";"25-09-2023";"hite";"alst";1;"4316";"AIR ADAPTOR";167;"Nos";1301.8;217400.6;0.0;0.0;39132.11;0
"MEE";"076/2023-24";"17-10-2023";"914/23-24";"07-10-2023";"63/2020-2021";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";35;"Nos";18000.0;630000.0;0.0;0.0;113400.0;0
"MEE";"077/2023-24";"18-10-2023 ";"SC232400374";"09-10-2023 ";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";86;"Nos";250.0;21500.0;1935.0;1935.0;0.0;0
"MEE";"078/2023-24";"19-10-2023";"2023-24/10945";"30-09-2023";"2023-24/01296";"25-09-2023";"hite";"alst";1;"4650";"BRACKET-NH00002647283";85;"Nos";1306.4;111044.0;0.0;0.0;19987.9;0
"MEE";"079/2023-24";"21-10-2023";"952/23-24";"16-10-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";32;"Nos";18000.0;576000.0;0.0;0.0;103680.0;0
"MEE";"080/2023-24";"26-10-2023";"2023-24/11421";"09-10-2023";"2023-24/01297";"25-09-2023";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER-NH00001762423";41;"Nos";3569.6;146353.6;0.0;0.0;26343.65;0
"MEE";"081/2023-24";"26-10-2023";"2023-24/11422";"09-10-2023";"2023-24/01297";"25-09-2023";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER-NH00001762423";55;"Nos";3569.6;196328.0;0.0;0.0;35339.04;0
"MEE";"082/2023-24";"28-10-2023";"SC232400394";"18-10-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";96;"Nos";697.0;66912.0;6022.08;6022.08;0.0;0
"MEE";"083/2023-24";"31-10-2023";"5000000546";"21-10-2023";"4100008086";"23-02-2022";"oeni";"oeni";1;"FWA-ALCR-001";"FREE WHEEL ACTUATOR (ALOCHROM#1200 REV 0)";16;"Nos";500.0;8000.0;0.0;0.0;1440.0;0
"MEE";"084/2023-24";"06-11-2023";"998/23-24";"30-10-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD- NON DRIVING SIDE PART";36;"Nos";18000.0;648000.0;0.0;0.0;116640.0;0
"MEE";"085/2023-24";"11-11-2023";"1033/23-24";"06-11-2023";"63/2020-2021";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";47;"Nos";18000.0;846000.0;0.0;0.0;152280.0;0
